total_packets,total_bytes,udp_packets,tcp_packets,icmp_packets,syn_packets,http_requests,dns_queries,baseline_packets,attack_packets,udp_tcp_ratio,syn_total_ratio,baseline_attack_ratio,bytes_per_packet,ntp_monlist_queries,ntp_responses,avg_ntp_response_size,dns_any_queries,dns_txt_queries,dns_responses,avg_dns_response_size,snmp_getbulk_requests,snmp_responses,avg_snmp_response_size,ssdp_msearch_packets,ssdp_responses,portmap_getport_calls,portmap_dump_calls,netbios_name_queries,netbios_dgram_packets,ldap_bind_requests,ldap_search_requests,mssql_sqlbatch_packets,mssql_rpc_packets,tftp_rrq_packets,tftp_wrq_packets,ntp_amplification_factor,dns_amplification_factor,snmp_amplification_factor,query_response_ratio,fragmentation_ratio,syn_ack_ratio,label,run_id
508525170,67057185483,69197260,420743118,18584548,112684227,206686067,46519556,329123650,7828088,0.1644643894092166,0.2215902646470773,42.04393844320605,131.86601064997433,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,1.9999976394239627,mixed,run1
570199714,75923006485,78981930,470433590,20783895,125991262,231093125,52006741,368002883,10363440,0.1678917740546545,0.2209598828385242,35.50972292983797,133.15160393959792,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,2.000010254731987,mixed,run1
631150522,84614896561,88292698,519892497,22964969,139233983,255402687,57486571,406683090,12456539,0.1698287598099343,0.2206034505981126,32.64816093780142,134.06452757556303,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,2.0000132008873983,mixed,run1
692448288,93405007368,97911503,569383651,25152735,152486685,279720435,62950149,445394964,14859970,0.1719605099795884,0.2202138233895092,29.97280371360104,134.89094996217247,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,2.000003344559906,mixed,run1
754024023,102090226728,107632774,619045292,27345479,165787013,304102597,68454217,484248270,17330229,0.1738689808176426,0.219869669855333,27.942404569495302,135.39386493525552,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,2.0000071779100748,mixed,run1
815359716,110999683181,117265740,668554070,29539348,179043468,328441164,73934443,522982706,19728911,0.1754020284402726,0.2195883172624142,26.50844266062126,136.13584409779696,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,1.999999642544968,mixed,run1
876385810,119702899634,126685514,717978417,31721290,192279685,352715401,79411039,561646134,21931881,0.1764475240486233,0.2194007283162195,25.608662293945518,136.5869897345782,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,1.9999978052827736,mixed,run1
936838355,128504444897,135880558,767065895,33891282,205424174,376831268,84819088,600042144,23978364,0.1771432661596824,0.2192738724921227,25.02431542035145,137.1682149979865,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,2.00000033102244,mixed,run1
998295703,137075697311,144839011,817350955,36104665,219145327,401307513,90339373,639068062,26077348,0.1772054098841788,0.2195194533457788,24.50663549069484,137.30971384437584,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,2.00329614375232,mixed,run1
1059490366,145758913597,154253116,866946011,38287582,232396232,425667797,95828045,677736918,28418390,0.1779270151114404,0.2193471875326141,23.848533220917865,137.57455308187295,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,2.003094935284547,mixed,run1
1120301320,154545368444,163565316,916260712,40471616,245607717,449842673,101270259,716339029,30535660,0.1785139468033853,0.2192336227899829,23.45909762553028,137.94982268163355,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,2.002936419670041,mixed,run1
1181760320,163387938642,173293878,965800069,42662090,258874553,474168376,106741120,755079463,33063447,0.1794303847787362,0.2190584237927365,22.837288048036854,138.25810181374172,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,2.002807277238241,mixed,run1
1243168979,172131215341,182765058,1015536446,44863153,272193982,498599255,112241497,793992859,35272389,0.179968979665748,0.2189517166193703,22.51032270595564,138.4616397679595,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,2.0026633362566097,mixed,run1
1304296395,180913812524,192378357,1064873969,47039644,285406945,522825357,117697215,832584000,37692742,0.1806583338502098,0.2188206193730988,22.088708749286532,138.70605885098686,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,2.002537287719198,mixed,run1
1365342977,189635102470,201832043,1114280195,49226280,298638826,547078638,123156753,871245533,39935853,0.1811322178260558,0.2187280639595658,21.81612429813381,138.89191629100824,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,2.0024290074304463,mixed,run1
1427172828,198443217036,211524115,1164213049,51431166,312015775,571569711,128674560,910316723,42345912,0.1816884935121527,0.2186250809141666,21.49715710456301,139.04638116891053,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,2.002319627765525,mixed,run1
1487702159,207288488901,220768743,1213324094,53604786,325166718,595694867,134098286,948739481,44425628,0.1819536462613096,0.2185697695152703,21.355679676604684,139.3346696763112,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,2.0022254069950445,mixed,run1
1548704693,215988410866,230233769,1262680612,55785744,338382883,619944678,139572996,987352287,46677105,0.1823372963930486,0.2184941290159827,21.152817575125965,139.46390931870187,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,2.002136637543414,mixed,run1
1610068911,224911158496,239842000,1312244392,57977925,351652939,644313121,145057531,1026121689,49049512,0.1827723566297397,0.2184086262379859,20.920120245029143,139.69039272754458,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,2.002055948812016,mixed,run1
1670791867,233668051556,249232314,1361402966,60151322,364814982,668466227,150513965,1064572326,51264008,0.1830702005389931,0.2183485502925302,20.76646691378481,139.85467380539984,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,2.0019816279852103,mixed,run1
1732184799,242404080364,258672975,1411154257,62352259,378138774,692896160,155995420,1103494257,53458847,0.1833059523555687,0.2183016351478789,20.641938966622305,139.9412351984276,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,2.0019160093505146,mixed,run1
1793584905,251317716958,268356397,1460679737,64543439,391405173,717197186,161473343,1142249199,55912523,0.1837202161448208,0.2182250597163673,20.4292193897242,140.12033456425638,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,2.0018486065484287,mixed,run1
1855266453,260042723752,278042240,1510476315,66742506,404739107,741669078,166978220,1181194242,58339646,0.1840758688096344,0.2181568616979676,20.246853091977968,140.16462343266443,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,2.001786215081349,mixed,run1
1916490886,268383181423,286787409,1560737462,68960598,418199953,766353932,172515190,1220503738,59771552,0.183751217602285,0.2182112923442308,20.419475438750528,140.03885089334048,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,2.0017316512422663,mixed,run1
1977825591,276897293475,295663967,1610973499,71182683,431654700,791030280,178086593,1259813034,61301745,0.1835312419375807,0.218247100231802,20.55101423295536,140.00086495746024,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,2.0016764466342827,mixed,run1
2038895804,285735239446,305269573,1660258179,73362588,444850081,815257468,183537797,1298365203,63712748,0.1838687361166133,0.2181818610481578,20.378421018663328,140.14214894426257,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,2.001627376530492,mixed,run1
2100676361,294317583848,314647624,1710439310,75583922,458289468,839902760,189080253,1337626293,65770472,0.1839571986918378,0.2181628148478032,20.33779372907648,140.1061054963716,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,2.0015785537096926,mixed,run1
2161781095,303027240376,324139467,1759868114,77767912,471526473,864178073,194558811,1376296478,68042908,0.1841839535709662,0.2181194359089351,20.226890920064733,140.1748035806558,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,2.0015355011628038,mixed,run1
2223844862,311741463975,333653321,1810190300,79995613,485004006,888888378,200107161,1415669065,70222344,0.1843194723781251,0.2180925541558752,20.159809319381303,140.181300099611,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,2.0014914082894317,mixed,run1
2285486977,320224536286,342748686,1860515766,82216740,498479662,913613170,205679974,1455025999,71982784,0.1842224034128394,0.2181065422889959,20.21352770962568,140.11216843875283,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,2.001450016347716,mixed,run1
2346928090,328527419200,351208952,1911249430,84463916,512065494,938546097,211294892,1494723279,73028751,0.183758826287786,0.2181854212669975,20.467600205842217,139.98188551230814,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,2.001412464709684,mixed,run1
2408430503,337075798823,360201692,1961533932,86689073,525534690,963224036,216856331,1534074856,74678131,0.1836326591774707,0.2182062921663635,20.542491295075397,139.95662254033493,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,2.00137359427019,mixed,run1
2469750893,345448874721,369144378,2011694155,88906509,538964775,987885872,222412274,1573312177,76293380,0.1834992546369455,0.2182263711403383,20.621870167503392,139.8719505275223,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,2.00133949606461,mixed,run1
2531379681,354031628329,378502919,2061750403,91120483,552375088,1012440839,227933338,1612483484,78355158,0.1835832884762627,0.2182110775977268,20.579161923201024,139.85718183103327,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,2.001308147910661,mixed,run1
2593300142,362715520899,388221213,2111745709,93327305,565763183,1037003201,233454031,1651585933,80788735,0.1838389969708232,0.2181634026224489,20.443270129183237,139.8663868576613,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,2.001280057168598,mixed,run1
2653725742,371487661264,397336675,2160877868,95505132,578922964,1061108683,238867584,1690030578,82750481,0.1838774328175034,0.2181547832307985,20.42321153396075,139.9872094484133,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,2.0012488901701966,mixed,run1
2715468043,380209721039,407005593,2210748650,97707701,592281468,1085582950,244374137,1729048317,85149832,0.1841030607436987,0.2181139525934756,20.30595100880528,140.01627528599127,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,2.0012219560454048,mixed,run1
2776074763,388916655454,416139027,2260041092,99888527,605479824,1109807276,249822924,1767608542,87091894,0.1841289649436161,0.2181064545054545,20.295901958453214,140.09588669496506,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,2.001198127992766,mixed,run1
2837369711,397854275286,425806335,2309483752,102073452,618721441,1134077962,255285559,1806294308,89547764,0.18437295115467,0.2180616218610222,20.171294372018043,140.21939888326384,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,2.001174027771361,mixed,run1
2898762029,406648443189,435328109,2359160865,104266865,632023184,1158499325,260798012,1845152550,91807053,0.1845266744877102,0.2180321039385327,20.098156837688716,140.28348623335717,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,2.0011503659507484,mixed,run1
2960420270,415212516592,444514252,2409415259,106484536,645481447,1183188797,266347309,1884457565,93671312,0.1844905108571822,0.2180370988339436,20.117766312486367,140.25458506673445,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,2.001127598833782,mixed,run1
3022228367,423769561765,453668857,2459836343,108716924,658983704,1207957276,271934890,1923912592,95453669,0.1844305042044823,0.2180456351993469,20.155459838846006,140.21758461146757,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,2.0011037438069583,mixed,run1
3083808933,432337037345,462774050,2510092423,110936189,672442247,1232644268,277475149,1963221989,97240406,0.1843653427896109,0.2180557426253489,20.189364378013806,140.19579252091103,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,2.00108242413524,mixed,run1
3144443846,440645156837,471282357,2560007892,113147266,685810767,1257157984,283002844,2002283072,98452497,0.1840941031755225,0.2181024055724225,20.33755499365344,140.1345288444372,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,2.0010608169381974,mixed,run1
3205723288,449097999423,479948783,2610401759,115366401,699304116,1281934700,288578238,2041686139,99773594,0.1838601208971986,0.2181423825998047,20.463191282855863,140.0925654138992,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,2.0010405979388874,mixed,run1
3267153004,457504748267,488693007,2660856555,117597084,712817794,1306711759,294150359,2081159550,101159210,0.1836600346161839,0.2181770468439316,20.573109952123986,140.03162622224104,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,2.001020832012956,mixed,run1
3328640737,465934143988,497594146,2711212517,119827662,726306152,1331432063,299725412,2120570505,102699801,0.1835319595494476,0.2181990215785789,20.64824356378256,139.97730028622192,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,2.0010014454915845,mixed,run1
3390513731,474439981715,506836318,2761617275,122053702,739803871,1356200536,305305675,2159996415,104585393,0.1835288048739483,0.2181981639643151,20.6529454356977,139.9315913034419,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,2.0009826699281485,mixed,run1
3451005359,482732503222,515257828,2811480901,124260178,753160022,1380684111,310817540,2199012321,105728187,0.1832691902038996,0.2182436547181264,20.798732896081912,139.8817019982495,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,2.000964732986984,mixed,run1
3513213927,491347949864,524608958,2862105476,126493001,766719378,1405540636,316411443,2238610188,107701999,0.1832947675755049,0.2182387392090057,20.78522412569148,139.85711091711724,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,2.0009461023257087,mixed,run1
3574376041,499806466867,533369353,2912287020,128713149,780156567,1430213621,321956664,2277865472,109138515,0.1831445009839724,0.2182637075817395,20.87132550777331,139.83040987684373,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,2.0009314236213704,mixed,run1
3636181853,508280305220,542360202,2962864225,130950753,793703303,1455036319,327549341,2317438810,110754124,0.183052668233557,0.2182793202009855,20.924176241058078,139.78407180065756,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,2.000916275673657,mixed,run1
3697438970,516740019959,551233613,3013030218,133168430,807138329,1479671124,333096138,2356685695,112310215,0.1829499119215272,0.2182965927359174,20.983716352070022,139.75619994046852,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,2.0009015280628595,mixed,run1
3758770476,525227332919,560285943,3063092363,135385434,820543421,1504279410,338638733,2395853446,114046450,0.1829151317041104,0.2183010179097724,21.007698582463547,139.7338135628689,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,2.0008853345443582,mixed,run1
3820281343,533647557868,569161570,3113501049,137611933,834041006,1529057970,344221846,2435279700,115564079,0.1828043610850249,0.218319262671121,21.07298151011094,139.68802555492834,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,2.000871401426785,mixed,run1
3881764838,542051564410,578079320,3163839524,139839156,847522191,1553787577,349779476,2474659841,117141420,0.1827144883976738,0.2183342439251596,21.12540415678758,139.6404952468169,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,2.0008574470732703,mixed,run1
3943159708,550561558366,587201310,3213899888,142051652,860929593,1578372443,355319589,2513826160,118955234,0.1827067831802979,0.2183349538831309,21.132539321472816,139.62446340912956,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,2.000845306586827,mixed,run1
4004362043,559044264548,595966045,3264118020,144271088,874379365,1603035475,360853447,2553107681,120408679,0.1825810345546268,0.2183567208985254,21.20368483570856,139.6088212166684,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,2.000832495478301,mixed,run1
4065841751,567464060565,604912806,3314428553,146493474,887855234,1627734082,366430668,2592472790,122004671,0.1825089291644175,0.2183693533526312,21.24896341058942,139.56865400022795,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,2.000819708139805,mixed,run1
4127285359,575873940812,613740414,3364813432,148724466,901348527,1652482866,372000454,2631891070,123483118,0.1823995375681798,0.2183877412388049,21.31377238141978,139.52850135652565,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,2.0008069990245563,mixed,run1
4188958755,584184839623,622759877,3415233572,150958204,914857014,1677213208,377576560,2671358586,125138141,0.1823476678449564,0.218397236045357,21.3472772142268,139.45824578141494,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,2.0007971284358117,mixed,run1
4250304401,592690566850,631893637,3465237480,153166143,928244558,1701799261,383098959,2710461798,126985612,0.1823521881680674,0.2183948419745195,21.344637044392083,139.44661627307292,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,2.000787205800299,mixed,run1
4311992387,601181412804,640845784,3515740010,155399437,941773832,1726579996,388677766,2749981752,128569541,0.182279059935379,0.2184080460900869,21.38906097518074,139.42079643193952,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,2.0007753400447013,mixed,run1
4373633714,609093288721,648614051,3567385189,157627273,956346481,1751399914,394261104,2789449449,130152252,0.1818177787473008,0.218661768117146,21.43220271747584,139.26481469431073,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,2.002979154212273,mixed,run1
4435030149,617971260072,658136403,3617064963,159821537,969652586,1775786679,399741558,2828315179,132436251,0.1819531608451235,0.2186349479988619,21.35604985526206,139.33868301015693,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,2.0029346027598027,mixed,run1
4496145779,626552035199,667593963,3666533734,162010280,982893319,1800118435,405232062,2866996923,134678718,0.1820776819286725,0.2186079738763737,21.28767607514648,139.35314066670523,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,2.0028943619892936,mixed,run1
4557854370,635323687849,677176953,3716451879,164217706,996260718,1824637803,410763341,2906054585,136968327,0.1822106070648789,0.2185810772185773,21.216982412291564,139.39095817337403,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,2.002855396745021,mixed,run1
4618984216,643874714067,686218679,3766336310,166421248,1009624845,1849105330,416272614,2945084798,138741020,0.1821979299028662,0.2185815750360641,21.227210222326462,139.39747008371245,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,2.002816631610865,mixed,run1
4679923696,652240121832,695183072,3816114709,168617880,1022950191,1873588751,421778839,2984006804,140449623,0.1821703813987736,0.2185826644725705,21.24610048971082,139.36981972365902,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,2.002778874503248,mixed,run1
4740837069,660619148059,703876284,3866122249,170830459,1036346605,1898123288,427294444,3023138960,141852893,0.1820626039908755,0.2185999202074666,21.311789249162512,139.34652012800484,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,2.0027425323547607,mixed,run1
4802335753,669269335195,713226716,3916064716,173036214,1049716962,1922692653,432837092,3062198793,143902227,0.1821284293607164,0.2185846671266677,21.27971788094704,139.36329520003056,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,2.002705728671112,mixed,run1
4863764594,677835806111,722415034,3966073080,175263675,1063083747,1947183823,438360497,3101197083,146012888,0.1821486945470001,0.2185722039901834,21.239201042307997,139.36443530741323,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,2.0026671258284368,mixed,run1
4925295028,686216565857,731496854,4016305158,177480151,1076536089,1971856576,443913376,3140487242,147772366,0.1821317915903241,0.2185729144914078,21.252195704845118,139.3249667189277,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,2.002635325791764,mixed,run1
4985909772,694528475250,739991423,4066213867,179691513,1089904012,1996351058,449432162,3179547280,148979636,0.1819853670279168,0.2185968182017073,21.34216034733767,139.29824385317818,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,2.002604062891098,mixed,run1
