udp_tcp_ratio,syn_total_ratio,baseline_attack_ratio,bytes_per_packet,ntp_amplification_factor,dns_amplification_factor,snmp_amplification_factor,query_response_ratio,fragmentation_ratio,syn_ack_ratio,active_attack_protocols,syn_http_ratio,syn_only_ratio,http_payload_ratio,dns_query_ratio,ntp_monlist_ratio,snmp_ratio,ssdp_ratio,icmp_ratio,http_request_ratio,portmap_ratio,netbios_ratio,ldap_ratio,mssql_ratio,tftp_ratio,ratio_vs_baseline,ratio_50ms_1min,num_heavy_hitters,ip_concentration,new_ips_ratio,attack_entropy,max_protocol_ratio,protocol_diversity,label
1.1120850009461212,0.1225629615664655,1.4837867583275504,109.07191741860828,0.0,0.0,0.0,0.0,0.0,2.000225452230651,4,1.8005198663200892,0.0788043478260869,0.0437675525275639,0.0873652680986062,0.0,0.0,0.0,0.0385505512793842,0.2187873803827751,0.0,0.0,0.2997662913459538,0.0,0.0,1.11,0.13,5,0.008,0.1818181818181818,0.4331511892503756,0.2997662913459538,5,ldap
1.101577682744595,0.1205698256676557,999.0,114.3391262518546,0.0,0.0,0.0,0.0,0.0,2.0,3,1.7597771292119926,0.0768801001483679,0.0436874072700296,0.2251657548219584,0.0,0.0,0.0,0.0561340875370919,0.2184776057121661,0.0,0.0,0.0,0.0,0.0,1.0,0.0,5,0.0,0.0,0.0,0.2251657548219584,4,benign
0.9498152922988962,0.1290451562016216,1.4965252870991623,113.9229049462195,0.0,0.0,0.0,4.212642952224565,0.0,1.9989941661637496,4,1.446666234691894,0.0762994702261056,0.0527415850293593,0.0702669784297067,0.2963350527689247,0.0,0.0,0.0396725531192138,0.2637236454403971,0.0,0.0,0.0,0.0,0.0,1.6,0.14,5,0.008,0.1818181818181818,0.4354649362592981,0.2963350527689247,5,ntp
0.3484181251156104,0.1832315197577359,999.0,123.95115785984912,0.0,0.0,0.0,0.0,0.0,1.9997894058768149,3,1.445680003635978,0.10831171071778,0.0749209440853917,0.0999918276728617,0.0,0.0,0.0,0.0567522717934398,0.3746330965628554,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0,0.0,0.0,0.0,0.10831171071778,4,benign
1.357898506433885,0.1081718718061816,999.0,112.10221509795272,0.0,0.0,0.0,0.0,0.0,1.9992643111367387,3,1.881788221808282,0.0706432282981722,0.0375404774455907,0.249949974718406,0.0,0.0,0.0,0.0579034565855862,0.1876690370402246,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0,0.0,0.0,0.0,0.249949974718406,4,benign
0.1464237544565054,0.2250657424384142,999.0,125.4806526443682,0.0,0.0,0.0,0.0,0.0,1.9994860058986943,3,1.7351284390615451,0.1427812805208151,0.0822885944962317,0.046120266303367,0.0,0.0,0.0,0.0376312610288192,0.4114229983511011,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5,0.0,0.0,0.0,0.1427812805208151,4,benign
0.3504260455666149,0.1830448250456365,999.0,124.10704632848572,0.0,0.0,0.0,0.0,0.0,1.99867190646738,3,1.44629651836751,0.108217775486948,0.0748240586301746,0.1003685820905194,0.0,0.0,0.0,0.0563969480565445,0.3741222871032159,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0,0.0,0.0,0.0,0.108217775486948,4,benign
0.3484643021480572,0.1834623834201313,999.0,124.13068468566514,0.0,0.0,0.0,0.0,0.0,1.997131142780817,3,1.445636094674556,0.1084404838498004,0.075012296835472,0.1001831988416967,0.0,0.0,0.0,0.0557140006807272,0.375098828146256,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0,0.0,0.0,0.0,0.1084404838498004,4,benign
1.3623082037422396,0.1083502862715164,999.0,112.42148170406676,0.0,0.0,0.0,0.0,0.0,1.9995963029852333,3,1.8877707553537464,0.0708396798916854,0.0375255733201624,0.2499893504463026,0.0,0.0,0.0,0.0550587682668628,0.1875541832022574,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5,0.0,0.0,0.0,0.2499893504463026,4,benign
0.8485436893203884,0.1445264511670761,1.5106496161548733,106.7660776899058,0.0,1.8,0.0,5.909907688514232,0.0,1.9999557291954888,3,2.3374704491725766,0.1012233824733824,0.0433046683046683,0.3586143849815725,0.0,0.0,0.0,0.0383330773955774,0.216537738022113,0.0,0.0,0.0,0.0,0.0,1.39,0.06,5,0.008,0.1818181818181818,0.4394627458641864,0.3586143849815725,4,dns
